Authors,Year,Title,Abstract,Journal,Volume,Issue,Pages,DOI
"B. Adams, A. Chan, H. Callahan and N. W. Milgram",2000,The canine as a model of human cognitive aging: Recent developments,"Discusses the development of a canine model of cognitive aging, and reviews relevant studies. Dogs display many of the cognitive impairments associated with human aging and dementia. As well, aged dogs display a wide range of individual variability in cognitive functioning. Different categories of aged canines can be identified on the basis of cognitive test performance, and these categories can be used to model different subgroups of aged dogs. Advantages of a dog model of human cognitive aging include ease of acquisition and maintenance, the lack of deprivation needed for motivation, similar patterns of cognitive decline as a function of age, and similarities between dog- and human-related neuropathologies. The canine model has been examined in studies concerning procedural learning, discrimination and reversal learning, visual recognition memory, allocentric spatial learning, spatial learning and memory, procedural memory, episodic memory, semantic memory, and remote memory. Lesion, neurochemical, and neuropathological studies are currently in progress. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",Progress in Neuro-Psychopharmacology & Biological Psychiatry,24,5,675-692,10.1016/S0278-5846(00)00101-9
"D. R. Addis, A. T. Wong and D. L. Schacter",2007,Remembering the past and imagining the future: Common and distinct neural substrates during event construction and elaboration,"People can consciously re-experience past events and pre-experience possible future events. This fMRI study examined the neural regions mediating the construction and elaboration of past and future events. Participants were cued with a noun for 20 s and instructed to construct a past or future event within a specified time period (week, year, 5-20 years). Once participants had the event in mind, they made a button press and for the remainder of the 20 s elaborated on the event. Importantly, all events generated were episodic and did not differ on a number of phenomenological qualities (detail, emotionality, personal significance, field/observer perspective). Conjunction analyses indicated the left hippocampus was commonly engaged by past and future event construction, along with posterior visuospatial regions, but considerable neural differentiation was also observed during the construction phase. Future events recruited regions involved in prospective thinking and generation processes, specifically right frontopolar cortex and left ventrolateral prefrontal cortex, respectively. Furthermore, future event construction uniquely engaged the right hippocampus, possibly as a response to the novelty of these events. In contrast to the construction phase, elaboration was characterized by remarkable overlap in regions comprising the autobiographical memory retrieval network, attributable to the common processes engaged during elaboration, including self-referential processing, contextual and episodic imagery. This striking neural overlap is consistent with findings that amnesic patients exhibit deficits in both past and future thinking, and confirms that the episodic system contributes importantly to imagining the future. (PsycINFO Database Record (c) 2018 APA, all rights reserved) (Source: journal abstract)",Neuropsychologia,45,7,1363-1377,10.1016/j.neuropsychologia.2006.10.016
"J. P. Aggleton, G. L. Poirier, H. S. Aggleton, S. D. Vann and J. M. Pearce",2009,Lesions of the fornix and anterior thalamic nuclei dissociate different aspects of hippocampal-dependent spatial learning: Implications for the neural basis of scene learning,"The present study used 2 different discrimination tasks designed to isolate distinct components of visuospatial learning: structural learning and geometric learning. Structural learning refers to the ability to learn the precise combination of stimulus identity with stimulus location. Rats with anterior thalamic lesions and fornix lesions were unimpaired on a configural learning task in which the rats learned 3 concurrent mirror-image discriminations (structural learning). Indeed, both lesions led to facilitated learning. In contrast, anterior thalamic lesions impaired the geometric discrimination (e.g., swim to the corner with the short wall to the right of the long wall). Finally, both the fornix and anterior thalamic lesions severely impaired T-maze alternation, a task that taxes an array of spatial strategies including allocentric learning. This pattern of dissociations and double dissociations highlights how distinct classes of spatial learning rely on different systems, even though they may converge on the hippocampus. Consequently, the findings suggest that structural learning is heavily dependent on cortico-hippocampal interactions. In contrast, subcortical inputs (such as those from the anterior thalamus) contribute to geometric learning. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",Behavioral Neuroscience,123,3,504-519,10.1037/a0015404
"F. Ahs, J. E. Dunsmoor, D. Zielinski and K. S. LaBar",2015,Spatial proximity amplifies valence in emotional memory and defensive approach-avoidance,"In urban areas, people often have to stand or move in close proximity to others. The egocentric distance to stimuli is a powerful determinant of defensive behavior in animals. Yet, little is known about how spatial proximity to others alters defensive responses in humans. We hypothesized that the valence of social cues scales with egocentric distance, such that proximal social stimuli have more positive or negative valence than distal stimuli. This would predict enhanced defensive responses to proximal threat and reduced defensive responses to proximal reward. We tested this hypothesis across four experiments using 3-D virtual reality simulations. Results from Experiment 1 confirmed that proximal social stimuli facilitate defensive responses, as indexed by fear-potentiated startle, relative to distal stimuli. Experiment 2 revealed that interpersonal defensive boundaries flexibly increase with aversive learning. Experiment 3 examined whether spatial proximity enhances memory for aversive experiences. Fear memories for social threats encroaching on the body were more persistent than those acquired at greater interpersonal distances, as indexed by startle. Lastly, Experiment 4 examined how egocentric distance influenced startle responses to social threats during defensive approach and avoidance. Whereas fear-potentiated startle increased with proximity when participants actively avoided receiving shocks, startle decreased with proximity when participants tolerated shocks to receive monetary rewards, implicating opposing gradients of distance on threat versus reward. Thus, proximity in egocentric space amplifies the valence of social stimuli that, in turn, facilitates emotional memory and approach-avoidance responses. These findings have implications for understanding the consequences of increased urbanization on affective interpersonal behavior.",Neuropsychologia,70,,476-485,10.1016/j.neuropsychologia.2014.12.018
J. A. Ainge and R. F. Langston,2012,Ontogeny of neural circuits underlying spatial memory in the rat,"Spatial memory is a well-characterized psychological function in both humans and rodents. The combined computations of a network of systems including place cells in the hippocampus, grid cells in the medial entorhinal cortex and head direction cells found in numerous structures in the brain have been suggested to form the neural instantiation of the cognitive map as first described by Tolman in 1948. However, while our understanding of the neural mechanisms underlying spatial representations in adults is relatively sophisticated, we know substantially less about how this network develops in young animals. In this article we briefly review studies examining the developmental timescale that these systems follow. Electrophysiological recordings from very young rats show that directional information is at adult levels at the outset of navigational experience. The systems supporting allocentric memory, however, take longer to mature. This is consistent with behavioral studies of young rats which show that spatial memory based on head direction develops very early but that allocentric spatial memory takes longer to mature. We go on to report new data demonstrating that memory for associations between objects and their spatial locations is slower to develop than memory for objects alone. This is again consistent with previous reports suggesting that adult like spatial representations have a protracted development in rats and also suggests that the systems involved in processing non-spatial stimuli come online earlier.",Frontiers in Neural Circuits,6,,8,10.3389/fncir.2012.00008
"S. Akhtar, L. V. Justice, C. Loveday and M. A. Conway",2017,Switching memory perspective,"The perspective in which memories were spontaneously recalled, field (original perspective) or observer (see oneself in the memory), was examined for both recent and remote memories. Recent memories were dominated by field perspective whilst remote memories were dominated by observer perspective. Further, field memories contained reliably more episodic detail than observer memories. After a 1-week interval, the same memories were recalled again but with a switched memory perspective. Switching from an observer to a field perspective did not reliably increase the amount of episodic details in a memory. Switching from field to observer perspective did, however, reliably reduce the number of episodic details. These findings suggest that memories may be represented in long-term memory with a fixed perspective, either field or observer, which can be temporarily altered sometimes changing the nature of a memory, i.e. how much detail remains accessible.",Conscious Cogn,56,,50-57,10.1016/j.concog.2017.10.006
"M. C. Alle, L. Manning, J. Potheegadoo, R. Coutelle, J. M. Danion and F. Berna",2017,Wearable Cameras Are Useful Tools to Investigate and Remediate Autobiographical Memory Impairment: A Systematic PRISMA Review,"Autobiographical memory, central in human cognition and every day functioning, enables past experienced events to be remembered. A variety of disorders affecting autobiographical memory are characterized by the difficulty of retrieving specific detailed memories of past personal events. Owing to the impact of autobiographical memory impairment on patients' daily life, it is necessary to better understand these deficits and develop relevant methods to improve autobiographical memory. The primary objective of the present systematic PRISMA review was to give an overview of the first empirical evidence of the potential of wearable cameras in autobiographical memory investigation in remediating autobiographical memory impairments. The peer-reviewed literature published since 2004 on the usefulness of wearable cameras in research protocols was explored in 3 databases (PUBMED, PsycINFO, and Google Scholar). Twenty-eight published studies that used a protocol involving wearable camera, either to explore wearable camera functioning and impact on daily life, or to investigate autobiographical memory processing or remediate autobiographical memory impairment, were included. This review analyzed the potential of wearable cameras for 1) investigating autobiographical memory processes in healthy volunteers without memory impairment and in clinical populations, and 2) remediating autobiographical memory in patients with various kinds of memory disorder. Mechanisms to account for the efficacy of wearable cameras are also discussed. The review concludes by discussing certain limitations inherent to using cameras, and new research perspectives. Finally, ethical issues raised by this new technology are considered.",Neuropsychology Review,27,1,81-99,10.1007/s11065-016-9337-x
"J. A. Araujo, A. D. Chan, L. L. Winka, P. A. Seymour and N. W. Milgram",2004,"Dose-specific effects of scopolamine on canine cognition: impairment of visuospatial memory, but not visuospatial discrimination","RATIONALE: The cholinergic system is linked extensively to memory, but its exact role remains controversial. In particular, scopolamine-induced impairment in rodents is not task specific, which may be due to difficulty in developing rodent protocols to assess deficits in recent memory, in which the remembered event is brief and distinct, and/or to non-specific behavioral impairment. OBJECTIVES: The present study sought to determine whether scopolamine-induced deficits in recent memory, using a working memory task, could be dose-specifically dissociated from deficits in associative memory in dogs. METHODS: A Latin-square design was used to determine the effect of scopolamine (5, 10 and 15 microg/kg; SC) on a variable delayed-non-matching-to-position (DNMP) task, which assesses visuospatial working memory. Subsequently, the minimal effective dose (15 microg/kg; SC) was administered prior to testing on a landmark discrimination task, which provides a measure of allocentric spatial ability, a black-white discrimination task, an oddity discrimination task and tests of exploratory behavior. We also investigated the effects of a 30 microg/kg dose (SC) on tests of oddity discrimination and behavioral activity. RESULTS: A 15 microg/kg dose produced significant impairment on the DNMP task, but did not affect performance of any discrimination task and did not alter behavior on tests of open field or curiosity. A 30 microg/kg dose caused disruption on discrimination performance and on open field measures. CONCLUSIONS: Working memory performance is most sensitive to scopolamine-induced impairment and can be dissociated from scopolamine-induced deficits in discrimination performance and non-cognitive behaviors. The present results indicate that scopolamine-induced impairments of working memory in the dog can serve as a model of age-related cholinergic dysfunction.",Psychopharmacology (Berl),175,1,92-98,
"A. Arora, B. Weiss, M. Schurz, M. Aichhorn, R. C. Wieshofer and J. Perner",2015,Left inferior-parietal lobe activity in perspective tasks: Identity statements,"We investigate the theory that the left inferior parietal lobe (IPL) is closely associated with tracking potential differences of perspective. Developmental studies find that perspective tasks are mastered at around 4 years of age. Our first study, meta-analyses of brain imaging studies shows that perspective tasks specifically activate a region in the left IPL and precuneus. These tasks include processing of false belief, visual perspective, and episodic memory. We test the location specificity theory in our second study with an unusual and novel kind of perspective task: identity statements. According to Frege’s classical logical analysis, identity statements require appreciation of modes of presentation (perspectives). We show that identity statements, e.g., “the tour guide is also the driver” activate the left IPL in contrast to a control statements, “the tour guide has an apprentice.” This activation overlaps with the activations found in the meta-analysis. This finding is confirmed in a third study with different types of statements and different comparisons. All studies support the theory that the left IPL has as one of its overarching functions the tracking of perspective differences. We discuss how this function relates to the bottom-up attention function proposed for the bilateral IPL. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",Frontiers in Human Neuroscience,9,,17,10.3389/fnhum.2015.00360
S. Arzy,2013,"When speaking of the experience, do not leave out the experiencer: On self and magnitude","This opinion article discusses different aspects of the subjective experience. Similarly to navigation, memory encompasses autobiographical memory, related to events that happened to the experiencer (self-referenced), and semantic memory of events that the experiencer “knows”. Perception may be taken from a self-referenced first-person-perspective or from a third-person-perspective. Correspondingly, in the affective plane, emotion may be self-referenced, reflecting the experiencer own-feelings, or may be dominated by a third-person-perspective, when the experiencer is absorbed in the life of others. Taken together, this suggests that different aspects of the subjective experience should be regarded in relation to the experiencing self. Self-related mentalization may have a specific logarithmic pattern, reflected as a “mental-line.” The temporo-parietal junction may play a special role in mediating these self-referenced functions in the different domains. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",Frontiers in Psychology,4,,2,
