Coder,Pub_ID,Study_ID,Repeated,Authors,Pub_Year,Pub_Type - Selected Choice,Pub_Type - Other - Text,Analysis_Level,Sample_Size,Sample_Age,Sample_Gender,Perspective_Describe - Verbal Instructions,Perspective_Describe - Mental Imagery,Perspective_Describe - Pictures,Perspective_Describe - N/A (only relevant if naturalistic),Perspective_Describe - Unknown,Distancing_Emphasis,Memory_Type,Cue_Type,Age_Constraint,Clinical_Mod - Selected Choice,Clinical_Mod - Other - Text,Clinical_Meas - Selected Choice,Clinical_Meas - Other: - Text,Perspective_Nature,Shift_Type,Emo_Mod,Perspective_Measurement,Outcome,Memory_N,Design_1,Design_2,Vividness - First_Mean,Vividness - First_SD,Vividness - First_N,Vividness - Third_Mean,Vividness - Third_SD,Vividness - Third_N,Vividness - First_Corr,Vividness - Third_Corr,Vividness - What was the correlation with [Field-1] perspective?,Vividness - Between_Test,Emotional Intensity - First_Mean,Emotional Intensity - First_SD,Emotional Intensity - First_N,Emotional Intensity - Third_Mean,Emotional Intensity - Third_SD,Emotional Intensity - Third_N,Emotional Intensity - First_Corr,Emotional Intensity - Third_Corr,Emotional Intensity - What was the correlation with [Field-1] perspective?,Emotional Intensity - Between_Test,Frequency - First_Mean,Frequency - First_SD,Frequency - First_N,Frequency - Third_Mean,Frequency - Third_SD,Frequency - Third_N,Frequency - First_Corr,Frequency - Third_Corr,Frequency - What was the correlation with [Field-1] perspective?,Frequency - Between_Test,Positive Emotion - First_Mean,Positive Emotion - First_SD,Positive Emotion - First_N,Positive Emotion - Third_Mean,Positive Emotion - Third_SD,Positive Emotion - Third_N,Positive Emotion - First_Corr,Positive Emotion - Third_Corr,Positive Emotion - What was the correlation with [Field-1] perspective?,Positive Emotion - Between_Test,Negative Emotion - First_Mean,Negative Emotion - First_SD,Negative Emotion - First_N,Negative Emotion - Third_Mean,Negative Emotion - Third_SD,Negative Emotion - Third_N,Negative Emotion - First_Corr,Negative Emotion - Third_Corr,Negative Emotion - What was the correlation with [Field-1] perspective?,Negative Emotion - Between_Test,Re-Experiencing - First_Mean,Re-Experiencing - First_SD,Re-Experiencing - First_N,Re-Experiencing - Third_Mean,Re-Experiencing - Third_SD,Re-Experiencing - Third_N,Re-Experiencing - First_Corr,Re-Experiencing - Third_Corr,Re-Experiencing - What was the correlation with [Field-1] perspective?,Re-Experiencing - Between_Test,Rehearsal - First_Mean,Rehearsal - First_SD,Rehearsal - First_N,Rehearsal - Third_Mean,Rehearsal - Third_SD,Rehearsal - Third_N,Rehearsal - First_Corr,Rehearsal - Third_Corr,Rehearsal - What was the correlation with [Field-1] perspective?,Rehearsal - Between_Test,Perspective Use - First_Mean,Perspective Use - First_SD,Perspective Use - First_N,Perspective Use - Third_Mean,Perspective Use - Third_SD,Perspective Use - Third_N,Perspective Use - First_Corr,Perspective Use - Third_Corr,Perspective Use - What was the correlation with [Field-1] perspective?,Perspective Use - Between_Test,Age of Memory - First_Mean,Age of Memory - First_SD,Age of Memory - First_N,Age of Memory - Third_Mean,Age of Memory - Third_SD,Age of Memory - Third_N,Age of Memory - First_Corr,Age of Memory - Third_Corr,Age of Memory - What was the correlation with [Field-1] perspective?,Age of Memory - Between_Test,Vividness - Pre_Mean,Vividness - Pre_SD,Vividness - Pre_N,Vividness - Post_Mean,Vividness - Post_SD,Vividness - Post_N,Vividness - Within_Test,Emotional Intensity - Pre_Mean,Emotional Intensity - Pre_SD,Emotional Intensity - Pre_N,Emotional Intensity - Post_Mean,Emotional Intensity - Post_SD,Emotional Intensity - Post_N,Emotional Intensity - PrevsPost_Test,Frequency - Pre_Mean,Frequency - Pre_SD,Frequency - Pre_N,Frequency - Post_Mean,Frequency - Post_SD,Frequency - Post_N,Frequency - PrevsPost_Test,Positive Emotion - Pre_Mean,Positive Emotion - Pre_SD,Positive Emotion - Pre_N,Positive Emotion - Post_Mean,Positive Emotion - Post_SD,Positive Emotion - Post_N,Positive Emotion - Within_Test,Negative Emotion - Pre_Mean,Negative Emotion - Pre_SD,Negative Emotion - Pre_N,Negative Emotion - Post_Mean,Negative Emotion - Post_SD,Negative Emotion - Post_N,Negative Emotion - PrevsPost_Test,Re-Experiencing - Pre_Mean,Re-Experiencing - Pre_SD,Re-Experiencing - Pre_N,Re-Experiencing - Post_Mean,Re-Experiencing - Post_SD,Re-Experiencing - Post_N,Re-Experiencing - PrevsPost_Test,Rehearsal - Pre_Mean,Rehearsal - Pre_SD,Rehearsal - Pre_N,Rehearsal - Post_Mean,Rehearsal - Post_SD,Rehearsal - Post_N,Rehearsal - PrevsPost_Test,Perspective Use - Pre_Mean,Perspective Use - Pre_SD,Perspective Use - Pre_N,Perspective Use - Post_Mean,Perspective Use - Post_SD,Perspective Use - Post_N,Perspective Use - PrevsPost_Test,Age of Memory - Pre_Mean,Age of Memory - Pre_SD,Age of Memory - Pre_N,Age of Memory - Post_Mean,Age of Memory - Post_SD,Age of Memory - Post_N,Age of Memory - PrevsPost_Test,Notes
Liam,62,49,No,Sapien aliquet laoreet maecenas? Aenean ullamcorper eget suscipit id vel. Fermentum. Turpis! Dictumst purus.,Pretium eleifend. Proin? Ridiculus per venenatis interdum odio. Potenti nibh leo velit pharetra culpa leo.,Journal Article,,Memories,91,44,"Laoreet facilisi! Platea molestie eleifend orci nec. Integer risus magnis convallis orci, nunc nullam.",Verbal Instructions,,Pictures,,Unknown,Yes,Episodic / Lab based,Emotional i.e. positive event,Only remote memories,Other,,Other:,"Tortor, aliquam. Est odio duis blandit eu diam dictumst dictumst auctor.",Shifted,1,Positive Cue,"Complex (1st, 3rd, and both)",Negative Emotion,Dolor venenatis potenti at quis pede ut eros leo rutrum est! Luctus.,Correlational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,50,6,3,50,t(49) = 4.56,,,,,,,,,,,,,,,4,2,50,6,3,50,t(49) = 4.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vulputate? Mauris tincidunt cursus laoreet convallis venenatis purus? Turpis nec curabitur curabitur.
Liam,62,49,No,Sapien aliquet laoreet maecenas? Aenean ullamcorper eget suscipit id vel. Fermentum. Turpis! Dictumst purus.,Pretium eleifend. Proin? Ridiculus per venenatis interdum odio. Potenti nibh leo velit pharetra culpa leo.,Journal Article,,Memories,91,44,"Laoreet facilisi! Platea molestie eleifend orci nec. Integer risus magnis convallis orci, nunc nullam.",Verbal Instructions,,Pictures,,Unknown,Yes,Episodic / Lab based,Emotional i.e. positive event,Only remote memories,Other,,Other:,"Tortor, aliquam. Est odio duis blandit eu diam dictumst dictumst auctor.",Shifted,2,Positive Cue,"Complex (1st, 3rd, and both)",Negative Emotion,Dolor venenatis potenti at quis pede ut eros leo rutrum est! Luctus.,Correlational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,50,6,3,50,t(49) = 4.57,,,,,,,,,,,,,,,4,2,50,6,3,50,t(49) = 4.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vulputate? Mauris tincidunt cursus laoreet convallis venenatis purus? Turpis nec curabitur curabitur.
Liam,65,49,No,Sapien aliquet laoreet maecenas? Aenean ullamcorper eget suscipit id vel. Fermentum. Turpis! Dictumst purus.,Pretium eleifend. Proin? Ridiculus per venenatis interdum odio. Potenti nibh leo velit pharetra culpa leo.,Journal Article,,Memories,91,44,"Laoreet facilisi! Platea molestie eleifend orci nec. Integer risus magnis convallis orci, nunc nullam.",Verbal Instructions,,Pictures,,Unknown,Yes,Episodic / Lab based,Emotional i.e. positive event,Only remote memories,Other,,Other:,"Tortor, aliquam. Est odio duis blandit eu diam dictumst dictumst auctor.",Shifted,3,Positive Cue,"Complex (1st, 3rd, and both)",Negative Emotion,Dolor venenatis potenti at quis pede ut eros leo rutrum est! Luctus.,Correlational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,50,6,3,50,t(49) = 4.58,,,,,,,,,,,,,,,4,2,50,6,3,50,t(49) = 4.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liam,65,49,No,Sapien aliquet laoreet maecenas? Aenean ullamcorper eget suscipit id vel. Fermentum. Turpis! Dictumst purus.,Pretium eleifend. Proin? Ridiculus per venenatis interdum odio. Potenti nibh leo velit pharetra culpa leo.,Journal Article,,Memories,91,44,"Laoreet facilisi! Platea molestie eleifend orci nec. Integer risus magnis convallis orci, nunc nullam.",Verbal Instructions,,Pictures,,Unknown,Yes,Episodic / Lab based,Emotional i.e. positive event,Only remote memories,Other,,Other:,"Tortor, aliquam. Est odio duis blandit eu diam dictumst dictumst auctor.",Shifted,4,Positive Cue,"Complex (1st, 3rd, and both)",Negative Emotion,Dolor venenatis potenti at quis pede ut eros leo rutrum est! Luctus.,Correlational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,50,6,3,50,t(49) = 4.59,,,,,,,,,,,,,,,4,2,50,6,3,50,t(49) = 4.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liam,77,49,No,Sapien aliquet laoreet maecenas? Aenean ullamcorper eget suscipit id vel. Fermentum. Turpis! Dictumst purus.,Pretium eleifend. Proin? Ridiculus per venenatis interdum odio. Potenti nibh leo velit pharetra culpa leo.,Journal Article,,Memories,91,44,"Laoreet facilisi! Platea molestie eleifend orci nec. Integer risus magnis convallis orci, nunc nullam.",Verbal Instructions,,Pictures,,Unknown,Yes,Episodic / Lab based,Emotional i.e. positive event,Only remote memories,Other,,Other:,"Tortor, aliquam. Est odio duis blandit eu diam dictumst dictumst auctor.",Shifted,5,Positive Cue,"Complex (1st, 3rd, and both)",Negative Emotion,Dolor venenatis potenti at quis pede ut eros leo rutrum est! Luctus.,Correlational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,50,6,3,50,t(49) = 4.60,,,,,,,,,,,,,,,4,2,50,6,3,50,t(49) = 4.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liam,77,49,No,Sapien aliquet laoreet maecenas? Aenean ullamcorper eget suscipit id vel. Fermentum. Turpis! Dictumst purus.,Pretium eleifend. Proin? Ridiculus per venenatis interdum odio. Potenti nibh leo velit pharetra culpa leo.,Journal Article,,Memories,91,44,"Laoreet facilisi! Platea molestie eleifend orci nec. Integer risus magnis convallis orci, nunc nullam.",Verbal Instructions,,Pictures,,Unknown,Yes,Episodic / Lab based,Emotional i.e. positive event,Only remote memories,Other,,Other:,"Tortor, aliquam. Est odio duis blandit eu diam dictumst dictumst auctor.",Shifted,6,Positive Cue,"Complex (1st, 3rd, and both)",Negative Emotion,Dolor venenatis potenti at quis pede ut eros leo rutrum est! Luctus.,Correlational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,50,6,3,50,t(49) = 4.61,,,,,,,,,,,,,,,4,2,50,6,3,50,t(49) = 4.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liam,88,49,No,Sapien aliquet laoreet maecenas? Aenean ullamcorper eget suscipit id vel. Fermentum. Turpis! Dictumst purus.,Pretium eleifend. Proin? Ridiculus per venenatis interdum odio. Potenti nibh leo velit pharetra culpa leo.,Journal Article,,Memories,91,44,"Laoreet facilisi! Platea molestie eleifend orci nec. Integer risus magnis convallis orci, nunc nullam.",Verbal Instructions,,Pictures,,Unknown,Yes,Episodic / Lab based,Emotional i.e. positive event,Only remote memories,Other,,Other:,"Tortor, aliquam. Est odio duis blandit eu diam dictumst dictumst auctor.",Shifted,7,Positive Cue,"Complex (1st, 3rd, and both)",Negative Emotion,Dolor venenatis potenti at quis pede ut eros leo rutrum est! Luctus.,Correlational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,50,6,3,50,t(49) = 4.62,,,,,,,,,,,,,,,4,2,50,6,3,50,t(49) = 4.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liam,88,49,No,Sapien aliquet laoreet maecenas? Aenean ullamcorper eget suscipit id vel. Fermentum. Turpis! Dictumst purus.,Pretium eleifend. Proin? Ridiculus per venenatis interdum odio. Potenti nibh leo velit pharetra culpa leo.,Journal Article,,Memories,91,44,"Laoreet facilisi! Platea molestie eleifend orci nec. Integer risus magnis convallis orci, nunc nullam.",Verbal Instructions,,Pictures,,Unknown,Yes,Episodic / Lab based,Emotional i.e. positive event,Only remote memories,Other,,Other:,"Tortor, aliquam. Est odio duis blandit eu diam dictumst dictumst auctor.",Shifted,8,Positive Cue,"Complex (1st, 3rd, and both)",Negative Emotion,Dolor venenatis potenti at quis pede ut eros leo rutrum est! Luctus.,Correlational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,50,6,3,50,t(49) = 4.63,,,,,,,,,,,,,,,4,2,50,6,3,50,t(49) = 4.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liam,99,49,No,Sapien aliquet laoreet maecenas? Aenean ullamcorper eget suscipit id vel. Fermentum. Turpis! Dictumst purus.,Pretium eleifend. Proin? Ridiculus per venenatis interdum odio. Potenti nibh leo velit pharetra culpa leo.,Journal Article,,Memories,91,44,"Laoreet facilisi! Platea molestie eleifend orci nec. Integer risus magnis convallis orci, nunc nullam.",Verbal Instructions,,Pictures,,Unknown,Yes,Episodic / Lab based,Emotional i.e. positive event,Only remote memories,Other,,Other:,"Tortor, aliquam. Est odio duis blandit eu diam dictumst dictumst auctor.",Shifted,9,Positive Cue,"Complex (1st, 3rd, and both)",Negative Emotion,Dolor venenatis potenti at quis pede ut eros leo rutrum est! Luctus.,Correlational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,50,6,3,50,t(49) = 4.64,,,,,,,,,,,,,,,4,2,50,6,3,50,t(49) = 4.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liam,99,49,No,Sapien aliquet laoreet maecenas? Aenean ullamcorper eget suscipit id vel. Fermentum. Turpis! Dictumst purus.,Pretium eleifend. Proin? Ridiculus per venenatis interdum odio. Potenti nibh leo velit pharetra culpa leo.,Journal Article,,Memories,91,44,"Laoreet facilisi! Platea molestie eleifend orci nec. Integer risus magnis convallis orci, nunc nullam.",Verbal Instructions,,Pictures,,Unknown,Yes,Episodic / Lab based,Emotional i.e. positive event,Only remote memories,Other,,Other:,"Tortor, aliquam. Est odio duis blandit eu diam dictumst dictumst auctor.",Shifted,10,Positive Cue,"Complex (1st, 3rd, and both)",Negative Emotion,Dolor venenatis potenti at quis pede ut eros leo rutrum est! Luctus.,Correlational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,50,6,3,50,t(49) = 4.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
